,Date,Open,High,Low,Close,Adj Close,Volume
0,"Aug 19, 2020","11,982.65","12,027.82","11,710.06","11,791.38","11,791.38","23,551,447,040"
1,"Aug 18, 2020","12,251.90","12,335.71","11,954.53","11,991.23","11,991.23","26,043,227,672"
2,"Aug 17, 2020","11,895.66","12,359.06","11,806.70","12,254.40","12,254.40","28,227,687,027"
3,"Aug 16, 2020","11,866.69","11,934.90","11,737.19","11,892.80","11,892.80","20,583,375,490"
4,"Aug 15, 2020","11,768.70","11,963.20","11,768.70","11,865.70","11,865.70","23,354,924,400"
5,"Aug 14, 2020","11,772.66","12,150.99","11,685.46","11,768.87","11,768.87","24,237,958,589"
6,"Aug 13, 2020","11,588.41","11,796.40","11,216.87","11,784.14","11,784.14","27,522,199,497"
7,"Aug 12, 2020","11,404.60","11,748.40","11,249.61","11,584.93","11,584.93","25,064,548,486"
8,"Aug 11, 2020","11,881.65","11,932.71","11,195.71","11,410.53","11,410.53","27,039,782,640"
9,"Aug 10, 2020","11,662.26","12,045.14","11,662.26","11,878.11","11,878.11","26,114,112,569"
10,"Aug 09, 2020","11,737.33","11,806.06","11,548.78","11,675.74","11,675.74","17,489,608,833"
11,"Aug 08, 2020","11,604.55","11,800.06","11,558.43","11,754.05","11,754.05","17,572,057,837"
12,"Aug 07, 2020","11,778.89","11,898.04","11,408.59","11,601.47","11,601.47","23,132,312,867"
13,"Aug 06, 2020","11,749.87","11,902.34","11,598.71","11,779.77","11,779.77","23,400,740,340"
14,"Aug 05, 2020","11,203.82","11,786.62","11,158.29","11,747.02","11,747.02","24,411,254,471"
15,"Aug 04, 2020",-,-,-,-,-,-
16,"Aug 03, 2020","11,043.77","11,453.08","11,012.42","11,246.35","11,246.35","20,271,713,443"
17,"Aug 02, 2020","11,758.76","12,034.14","11,018.13","11,053.61","11,053.61","27,410,067,336"
18,"Aug 01, 2020","11,322.57","11,794.78","11,239.68","11,759.59","11,759.59","26,075,670,303"
19,"Jul 31, 2020","11,110.21","11,415.86","10,987.05","11,323.47","11,323.47","23,160,469,766"
20,"Jul 30, 2020","11,099.83","11,169.36","10,895.46","11,111.21","11,111.21","22,857,247,901"
21,"Jul 29, 2020","10,912.95","11,304.40","10,856.14","11,100.47","11,100.47","24,617,249,715"
22,"Jul 28, 2020","11,017.46","11,204.33","10,632.63","10,912.82","10,912.82","28,766,551,142"
23,"Jul 27, 2020","9,905.22","11,298.22","9,903.97","10,990.87","10,990.87","35,359,749,590"
24,"Jul 26, 2020","9,680.23","10,023.81","9,652.85","9,905.17","9,905.17","20,507,998,997"
25,"Jul 25, 2020","9,539.49","9,704.56","9,530.21","9,677.11","9,677.11","16,610,070,933"
26,"Jul 24, 2020","9,585.51","9,623.34","9,481.45","9,536.89","9,536.89","16,552,768,325"
27,"Jul 23, 2020","9,527.14","9,610.25","9,483.00","9,581.07","9,581.07","18,146,399,002"
28,"Jul 22, 2020","9,375.08","9,530.52","9,319.65","9,525.36","9,525.36","16,532,254,884"
29,"Jul 21, 2020","9,162.51","9,407.26","9,149.39","9,374.89","9,374.89","18,069,581,955"
30,"Jul 20, 2020","9,187.22","9,214.27","9,137.51","9,164.23","9,164.23","13,755,604,145"
31,"Jul 19, 2020","9,158.01","9,201.40","9,097.63","9,185.82","9,185.82","12,939,002,784"
32,"Jul 18, 2020","9,151.18","9,230.98","9,100.82","9,159.04","9,159.04","12,252,601,474"
33,"Jul 17, 2020","9,131.81","9,182.25","9,089.20","9,151.39","9,151.39","13,944,570,749"
34,"Jul 16, 2020","9,191.98","9,214.31","9,088.95","9,132.23","9,132.23","15,713,967,522"
35,"Jul 15, 2020","9,241.90","9,275.33","9,171.93","9,192.84","9,192.84","15,844,731,575"
36,"Jul 14, 2020","9,238.70","9,283.84","9,171.66","9,243.21","9,243.21","18,085,038,362"
37,"Jul 13, 2020","9,277.21","9,306.41","9,224.29","9,243.61","9,243.61","17,519,821,266"
38,"Jul 12, 2020","9,241.05","9,319.42","9,197.45","9,276.50","9,276.50","14,452,361,906"
39,"Jul 11, 2020","9,277.51","9,293.53","9,199.49","9,240.35","9,240.35","13,249,910,444"
40,"Jul 10, 2020","9,273.36","9,287.47","9,118.00","9,278.81","9,278.81","16,860,035,604"
41,"Jul 09, 2020","9,427.99","9,431.38","9,235.00","9,277.97","9,277.97","18,000,702,524"
42,"Jul 08, 2020","9,253.02","9,450.34","9,249.50","9,428.33","9,428.33","19,702,359,882"
43,"Jul 07, 2020","9,349.16","9,360.62","9,201.82","9,252.28","9,252.28","13,839,652,594"
44,"Jul 06, 2020","9,072.85","9,375.47","9,058.66","9,375.47","9,375.47","17,889,263,251"
45,"Jul 05, 2020","9,126.09","9,162.18","8,977.02","9,073.94","9,073.94","12,903,406,143"
46,"Jul 04, 2020","9,084.23","9,183.30","9,053.63","9,132.49","9,132.49","12,290,528,515"
47,"Jul 03, 2020","9,124.84","9,202.34","9,058.79","9,087.30","9,087.30","13,078,970,998"
48,"Jul 02, 2020","9,231.14","9,274.96","9,036.62","9,123.41","9,123.41","16,338,916,796"
49,"Jul 01, 2020","9,145.99","9,309.75","9,104.74","9,228.33","9,228.33","15,971,550,355"
50,"Jun 30, 2020","9,185.58","9,217.84","9,084.84","9,137.99","9,137.99","15,735,797,743"
51,"Jun 29, 2020","9,140.03","9,237.57","9,041.88","9,190.85","9,190.85","16,460,547,078"
52,"Jun 28, 2020","9,048.46","9,197.55","8,975.53","9,143.58","9,143.58","14,560,870,760"
53,"Jun 27, 2020","9,167.82","9,207.81","8,998.22","9,045.39","9,045.39","17,273,093,144"
54,"Jun 26, 2020","9,261.00","9,310.52","9,101.74","9,162.92","9,162.92","18,341,465,836"
55,"Jun 25, 2020","9,314.13","9,340.16","9,095.32","9,264.81","9,264.81","18,616,048,626"
56,"Jun 24, 2020","9,632.15","9,680.37","9,278.23","9,313.61","9,313.61","18,961,716,075"
57,"Jun 23, 2020","9,644.08","9,670.54","9,547.25","9,629.66","9,629.66","17,006,433,272"
58,"Jun 22, 2020","9,300.92","9,655.07","9,296.87","9,648.72","9,648.72","21,104,009,513"
59,"Jun 21, 2020","9,330.93","9,401.11","9,300.43","9,303.63","9,303.63","15,324,301,168"
60,"Jun 20, 2020","9,290.96","9,394.97","9,247.38","9,332.34","9,332.34","17,130,541,557"
61,"Jun 19, 2020","9,410.29","9,440.88","9,274.30","9,288.02","9,288.02","19,632,223,107"
